Asset ID,Asset Name,Asset Type,Description,Business Process,Owner,Custodian,Location,Status,Information Classification,Personal Data,Confidentiality,Integrity,Availability,Risk ID,Backup Required,Review Date,Notes
AST-001,Customer Database,Database,Central database containing customer account and contact information,Customer Management,Head of Customer Operations,Database Administrator,Cloud Production,Active,Confidential,Yes,5,5,5,RISK-001,Yes,2026-12-31,Contains personal data and critical customer records
AST-002,CRM Platform,Application,Customer relationship management platform used by sales and support teams,Customer Management,Head of Sales,IT Applications Manager,SaaS Cloud,Active,Confidential,Yes,4,5,4,RISK-002,Yes,2026-12-31,Core business application
AST-003,Corporate Email,Application,Corporate email and collaboration platform,Communication,IT Manager,Messaging Administrator,Cloud SaaS,Active,Internal,Yes,4,4,5,RISK-003,Yes,2026-12-31,Used for internal and external communication
AST-004,HR Information System,Application,Human resources platform containing employee records,Human Resources,HR Director,HR Systems Administrator,Cloud SaaS,Active,Restricted,Yes,5,5,4,RISK-004,Yes,2026-11-30,Contains sensitive employee information
AST-005,Financial Records,Information,Financial statements invoices payroll and accounting records,Financial Management,Finance Director,Finance Manager,Corporate File Server,Active,Restricted,Yes,5,5,4,RISK-005,Yes,2026-12-31,Required for financial reporting and audit
AST-006,Source Code Repository,Application,Central repository containing proprietary application source code,Software Development,CTO,DevOps Engineer,Cloud SaaS,Active,Confidential,No,5,5,5,RISK-006,Yes,2026-10-31,Contains proprietary intellectual property
AST-007,Production Web Server,Infrastructure,Server hosting the public corporate web application,Web Services,CTO,System Administrator,Cloud Data Centre,Active,Internal,No,3,5,5,RISK-007,Yes,2026-10-31,Critical production infrastructure
AST-008,Corporate Firewall,Network Device,Network security appliance controlling inbound and outbound traffic,Network Security,IT Manager,Network Administrator,Corporate Data Centre,Active,Internal,No,4,5,5,RISK-008,Yes,2026-09-30,Perimeter security control
AST-009,Employee Laptops,Endpoint,Corporate laptops assigned to employees,End User Computing,IT Manager,IT Support Team,Corporate Offices,Active,Internal,Yes,3,4,4,RISK-009,Yes,2026-12-31,Endpoints require encryption and endpoint protection
AST-010,Backup Repository,Infrastructure,Central repository containing backup copies of organisational data,Business Continuity,IT Manager,Backup Administrator,Cloud Data Centre,Active,Restricted,Yes,5,5,5,RISK-010,Yes,2026-09-30,Critical for disaster recovery
AST-011,VPN Gateway,Network Device,Remote access gateway providing secure access to internal resources,Remote Access,IT Manager,Network Administrator,Cloud Data Centre,Active,Confidential,No,4,5,5,RISK-011,Yes,2026-09-30,Provides remote employee access
AST-012,File Server,Infrastructure,Internal server storing shared corporate documents,Document Management,IT Manager,System Administrator,Corporate Data Centre,Active,Internal,Yes,4,4,4,RISK-012,Yes,2026-12-31,Contains business documentation
AST-013,Identity Management System,Application,Central identity and access management platform,Identity Management,IT Security Manager,Identity Administrator,Cloud SaaS,Active,Restricted,Yes,5,5,5,RISK-013,Yes,2026-09-30,Critical authentication infrastructure
AST-014,Marketing Database,Database,Database containing marketing contacts and campaign information,Marketing,Marketing Director,Marketing Operations Manager,Cloud SaaS,Active,Confidential,Yes,4,4,3,RISK-014,Yes,2026-12-31,Contains customer and prospect information
AST-015,Server Room,Physical Asset,Physical facility containing on-premises IT infrastructure,IT Infrastructure,IT Manager,Facilities Manager,Head Office,Active,Internal,No,4,5,5,RISK-015,Yes,2026-09-30,Requires physical security and environmental controls
AST-016,Security Logs,Information,Centralised security and system event logs,Security Monitoring,IT Security Manager,SOC Analyst,Cloud SIEM,Active,Restricted,No,5,5,4,RISK-016,Yes,2026-10-31,Required for security monitoring and investigations
AST-017,Public Website,Application,Public-facing corporate website,Web Services,Marketing Director,Web Administrator,Cloud Hosting,Active,Public,No,2,4,5,RISK-017,Yes,2026-12-31,Publicly accessible service
AST-018,Vendor Contracts,Information,Contracts and agreements with third-party service providers,Vendor Management,Procurement Manager,Legal Counsel,Corporate Document Management,Active,Confidential,No,4,5,3,RISK-018,Yes,2026-12-31,Contains commercially sensitive information
AST-019,Physical Access Control System,Physical Asset,System controlling physical access to corporate facilities,Physical Security,Facilities Manager,Security Administrator,Head Office,Active,Restricted,Yes,4,5,4,RISK-019,Yes,2026-11-30,Contains employee access records
AST-020,Disaster Recovery Documentation,Information,Documented disaster recovery procedures and technical recovery information,Business Continuity,IT Manager,BCM Manager,Corporate Document Management,Active,Restricted,No,5,5,5,RISK-020,Yes,2026-09-30,Critical business continuity documentation
