asset_id,asset_name,asset_type,description,business_process,owner,custodian,location,environment,vendor,status,criticality,confidentiality,integrity,availability,information_classification,contains_personal_data,personal_data_type,internet_facing,backup_required,backup_frequency,recovery_priority,risk_id,last_review_date,next_review_date,notes,cia_score
AST-001,Customer Database,Information,Customer account and contact information,Customer Management,Head of Customer Operations,Database Administrator,Cloud EU,Production,Azure,Active,Critical,5,5,5,Restricted,Yes,Identity and Contact,No,Yes,Daily,Critical,RISK-001,2026-08-01,2026-11-01,Core customer information,15
AST-002,CRM Platform,Application,Customer relationship management platform,Customer Management,Head of Customer Operations,IT Administrator,Cloud EU,Production,Salesforce,Active,High,4,4,5,Confidential,Yes,Identity and Contact,Yes,Yes,Daily,Critical,RISK-002,2026-08-01,2026-11-01,External SaaS platform,13
AST-003,Microsoft 365,Service,Corporate email and collaboration platform,Corporate Operations,IT Manager,IT Administrator,Cloud EU,Production,Microsoft,Active,High,4,4,5,Confidential,Yes,Identity and Employment,Yes,Yes,Daily,High,RISK-003,2026-08-01,2026-11-01,Core productivity service,13
AST-004,Production Web Server,Infrastructure,Public-facing production web server,Online Services,IT Manager,System Administrator,Cloud EU,Production,AWS,Active,High,3,4,5,Internal,No,None,Yes,Yes,Daily,High,RISK-004,2026-08-01,2026-11-01,Internet-facing infrastructure,12
AST-005,Employee Records,Information,Employee HR and employment records,Human Resources,HR Manager,HR Administrator,Cloud EU,Production,Microsoft,Active,High,5,4,4,Restricted,Yes,Employment,No,Yes,Daily,High,RISK-005,2026-08-01,2026-11-01,Contains sensitive employee information,13
AST-006,GitHub Repository,Application,Source code and development repository,Software Development,Engineering Manager,Lead Developer,Cloud EU,Production,GitHub,Active,High,4,5,4,Confidential,No,None,Yes,Yes,Daily,High,RISK-006,2026-08-01,2026-11-01,Source code repository,13
AST-007,Firewall,Infrastructure,Network perimeter firewall,Network Security,IT Security Manager,Network Administrator,Office,Production,FortiGate,Active,High,3,5,5,Internal,No,None,No,Yes,Weekly,High,RISK-007,2026-08-01,2026-11-01,Perimeter security device,13
AST-008,Employee Laptop,Endpoint,Standard employee workstation,Workplace IT,IT Manager,IT Support,Office,Production,Dell,Active,Medium,3,3,3,Internal,Yes,Employment,No,Yes,Daily,Medium,RISK-008,2026-08-01,2026-11-01,Standard corporate endpoint,9
AST-009,Backup Repository,Service,Central backup storage for critical systems,Business Continuity,IT Manager,Backup Administrator,Cloud EU,Production,AWS,Active,Critical,4,5,5,Restricted,Yes,Multiple,No,Yes,Daily,Critical,RISK-009,2026-08-01,2026-11-01,Critical recovery asset,14
AST-010,Financial Records,Information,Accounting and financial records,Finance,Finance Director,Finance Administrator,Cloud EU,Production,Microsoft,Active,Critical,5,5,4,Restricted,Yes,Financial,No,Yes,Daily,High,RISK-010,2026-08-01,2026-11-01,Financial information,14
